sampleName	isolationSource	collectionDate	geoLocName	latitude	longitude	amrResGenes	predictedSir	dangerZone	sampleAnalysisType	temperature	ph	tds	dissolvedO2	ec	isolateId	organism	collectedBy	sequenceName	coverage
APR-003	River Water	2024-03-25	Pretoria CBD	-25.746	28.201	acrB, tolC	Susceptible	green	16S rRNA	23.21	6.85	402	5.72	623	ISO-2026-12-1	E. coli	Automated Script	Contig_12	88.4
APR-004	River Water	2024-03-25	Pretoria Zoo - Apies River	-25.735	28.188	vanA, mecA	Resistant	red	16S rRNA	23.48	6.29	598	5.82	927	ISO-2026-12-2	Klebsiella pneumoniae	Automated Script	Contig_12	86.8
APR-005	River Water	2024-03-25	Wonderboom - Apies River	-25.69	28.187	qnrS1, strA	Intermediate	yellow	16S rRNA	22.02	6.48	716	6.86	1109	ISO-2026-12-3	E. coli	Automated Script	Contig_12	88.4
APR-006	River Water	2024-03-25	Pretoria North - Apies River	-25.67	28.187	blaNDM-1, mcr-1	Resistant	red	16S rRNA	21.75	7.06	349	6.35	542	ISO-2026-12-4	Pseudomonas aeruginosa	Automated Script	Contig_12	94.3
APR-002	River Water	2024-04-01	Groenkloof - Apies River	-25.78	28.1957	vanA, mecA	Resistant	red	16S rRNA	21.53	6.07	508	6.80	788	ISO-2026-13-0	Klebsiella pneumoniae	Automated Script	Contig_13	95.6
APR-003	River Water	2024-04-01	Pretoria CBD	-25.746	28.201	acrB, tolC	Susceptible	green	16S rRNA	21.57	6.92	420	6.20	651	ISO-2026-13-1	E. coli	Automated Script	Contig_13	98.5
APR-004	River Water	2024-04-01	Pretoria Zoo - Apies River	-25.735	28.188	vanA, mecA	Resistant	red	16S rRNA	22.28	6.15	596	6.86	924	ISO-2026-13-2	Pseudomonas aeruginosa	Automated Script	Contig_13	88.0
APR-005	River Water	2024-04-01	Wonderboom - Apies River	-25.69	28.187	tet(A), blaTEM-1	Intermediate	yellow	16S rRNA	22.04	6.76	464	6.10	719	ISO-2026-13-3	E. coli	Automated Script	Contig_13	95.0
APR-006	River Water	2024-04-01	Pretoria North - Apies River	-25.67	28.187	tet(A), blaTEM-1	Intermediate	yellow	16S rRNA	21.75	7.01	357	6.57	554	ISO-2026-13-4	Enterococcus faecalis	Automated Script	Contig_13	93.2
APR-002	River Water	2024-04-08	Groenkloof - Apies River	-25.78	28.1957	blaNDM-1, mcr-1	Resistant	red	16S rRNA	21.30	6.24	544	6.43	843	ISO-2026-14-0	E. coli	Automated Script	Contig_14	87.8
APR-003	River Water	2024-04-08	Pretoria CBD	-25.746	28.201	vanA, mecA	Resistant	red	16S rRNA	20.79	7.03	430	6.73	666	ISO-2026-14-1	E. coli	Automated Script	Contig_14	97.4
APR-004	River Water	2024-04-08	Pretoria Zoo - Apies River	-25.735	28.188	blaNDM-1, mcr-1	Resistant	red	16S rRNA	20.57	6.24	547	6.38	848	ISO-2026-14-2	Klebsiella pneumoniae	Automated Script	Contig_14	93.3
APR-005	River Water	2024-04-08	Wonderboom - Apies River	-25.69	28.187	tet(A), blaTEM-1	Intermediate	yellow	16S rRNA	20.54	6.54	443	6.84	686	ISO-2026-14-3	E. coli	Automated Script	Contig_14	92.9
APR-006	River Water	2024-04-08	Pretoria North - Apies River	-25.67	28.187	ampC_intrinsic	Susceptible	green	16S rRNA	21.08	7.21	356	7.00	552	ISO-2026-14-4	Pseudomonas aeruginosa	Automated Script	Contig_14	94.2
APR-002	River Water	2024-04-15	Groenkloof - Apies River	-25.78	28.1957	vanA, mecA	Resistant	red	16S rRNA	19.64	6.24	537	6.68	833	ISO-2026-15-0	E. coli	Automated Script	Contig_15	88.3
APR-003	River Water	2024-04-15	Pretoria CBD	-25.746	28.201	tet(A), blaTEM-1	Intermediate	yellow	16S rRNA	20.21	7.10	427	7.33	661	ISO-2026-15-1	E. coli	Automated Script	Contig_15	88.2
APR-004	River Water	2024-04-15	Pretoria Zoo - Apies River	-25.735	28.188	vanA, mecA	Resistant	red	16S rRNA	21.12	6.03	566	6.84	878	ISO-2026-15-2	E. coli	Automated Script	Contig_15	97.6
APR-005	River Water	2024-04-15	Wonderboom - Apies River	-25.69	28.187	vanA, mecA	Resistant	red	16S rRNA	21.09	6.67	434	6.62	672	ISO-2026-15-3	Pseudomonas aeruginosa	Automated Script	Contig_15	95.4
APR-006	River Water	2024-04-15	Pretoria North - Apies River	-25.67	28.187	tet(A), blaTEM-1	Intermediate	yellow	16S rRNA	19.82	7.08	364	6.57	564	ISO-2026-15-4	E. coli	Automated Script	Contig_15	89.3
APR-002	River Water	2024-04-22	Groenkloof - Apies River	-25.78	28.1957	vanA, mecA	Resistant	red	16S rRNA	19.08	6.05	540	7.21	837	ISO-2026-16-0	Klebsiella pneumoniae	Automated Script	Contig_16	95.3
APR-003	River Water	2024-04-22	Pretoria CBD	-25.746	28.201	ampC_intrinsic	Susceptible	green	16S rRNA	20.05	7.03	428	7.14	663	ISO-2026-16-1	Enterococcus faecalis	Automated Script	Contig_16	90.4
APR-004	River Water	2024-04-22	Pretoria Zoo - Apies River	-25.735	28.188	acrB, tolC	Susceptible	green	16S rRNA	19.06	6.31	578	7.25	897	ISO-2026-16-2	Klebsiella pneumoniae	Automated Script	Contig_16	94.6
APR-005	River Water	2024-04-22	Wonderboom - Apies River	-25.69	28.187	vanA, mecA	Resistant	red	16S rRNA	18.89	6.45	447	7.25	693	ISO-2026-16-3	Klebsiella pneumoniae	Automated Script	Contig_16	98.2
APR-006	River Water	2024-04-22	Pretoria North - Apies River	-25.67	28.187	blaNDM-1, mcr-1	Resistant	red	16S rRNA	18.98	7.15	350	7.33	543	ISO-2026-16-4	Pseudomonas aeruginosa	Automated Script	Contig_16	91.9
APR-002	River Water	2024-04-29	Groenkloof - Apies River	-25.78	28.1957	vanA, mecA	Resistant	red	16S rRNA	19.28	6.13	545	7.16	845	ISO-2026-17-0	E. coli	Automated Script	Contig_17	86.4
APR-003	River Water	2024-04-29	Pretoria CBD	-25.746	28.201	vanA, mecA	Resistant	red	16S rRNA	19.40	7.10	434	6.68	673	ISO-2026-17-1	Klebsiella pneumoniae	Automated Script	Contig_17	86.4
APR-004	River Water	2024-04-29	Pretoria Zoo - Apies River	-25.735	28.188	vanA, mecA	Resistant	red	16S rRNA	19.18	6.31	564	7.28	875	ISO-2026-17-2	E. coli	Automated Script	Contig_17	89.6
APR-005	River Water	2024-04-29	Wonderboom - Apies River	-25.69	28.187	ampC_intrinsic	Susceptible	green	16S rRNA	18.24	6.52	435	7.55	673	ISO-2026-17-3	Enterococcus faecalis	Automated Script	Contig_17	85.7
APR-006	River Water	2024-04-29	Pretoria North - Apies River	-25.67	28.187	ampC_intrinsic	Susceptible	green	16S rRNA	19.97	7.08	371	7.05	575	ISO-2026-17-4	Enterococcus faecalis	Automated Script	Contig_17	86.2
APR-002	River Water	2024-05-06	Groenkloof - Apies River	-25.78	28.1957	qnrS1, strA	Intermediate	yellow	16S rRNA	18.74	5.94	516	7.62	800	ISO-2026-18-0	Klebsiella pneumoniae	Automated Script	Contig_18	99.6
APR-003	River Water	2024-05-06	Pretoria CBD	-25.746	28.201	qnrS1, strA	Intermediate	yellow	16S rRNA	17.82	6.81	415	7.45	643	ISO-2026-18-1	Enterococcus faecalis	Automated Script	Contig_18	99.0
APR-004	River Water	2024-05-06	Pretoria Zoo - Apies River	-25.735	28.188	blaNDM-1, mcr-1	Resistant	red	16S rRNA	18.30	6.24	564	7.26	875	ISO-2026-18-2	Pseudomonas aeruginosa	Automated Script	Contig_18	90.5
APR-005	River Water	2024-05-06	Wonderboom - Apies River	-25.69	28.187	acrB, tolC	Susceptible	green	16S rRNA	18.22	6.69	460	6.99	713	ISO-2026-18-3	Pseudomonas aeruginosa	Automated Script	Contig_18	91.4
APR-006	River Water	2024-05-06	Pretoria North - Apies River	-25.67	28.187	tet(A), blaTEM-1	Intermediate	yellow	16S rRNA	18.30	7.20	348	7.88	539	ISO-2026-18-4	Klebsiella pneumoniae	Automated Script	Contig_18	91.0
APR-002	River Water	2024-05-13	Groenkloof - Apies River	-25.78	28.1957	acrB, tolC	Susceptible	green	16S rRNA	18.15	6.10	516	7.48	799	ISO-2026-19-0	Enterococcus faecalis	Automated Script	Contig_19	96.5
APR-003	River Water	2024-05-13	Pretoria CBD	-25.746	28.201	ampC_intrinsic	Susceptible	green	16S rRNA	17.71	7.19	441	7.42	683	ISO-2026-19-1	Pseudomonas aeruginosa	Automated Script	Contig_19	87.1
APR-004	River Water	2024-05-13	Pretoria Zoo - Apies River	-25.735	28.188	vanA, mecA	Resistant	red	16S rRNA	17.15	6.33	566	7.75	878	ISO-2026-19-2	Enterococcus faecalis	Automated Script	Contig_19	88.1
APR-005	River Water	2024-05-13	Wonderboom - Apies River	-25.69	28.187	tet(A), blaTEM-1	Intermediate	yellow	16S rRNA	17.57	6.72	452	8.03	701	ISO-2026-19-3	Pseudomonas aeruginosa	Automated Script	Contig_19	88.7
APR-006	River Water	2024-05-13	Pretoria North - Apies River	-25.67	28.187	blaNDM-1, mcr-1	Resistant	red	16S rRNA	18.79	7.37	349	7.43	542	ISO-2026-19-4	Enterococcus faecalis	Automated Script	Contig_19	99.3
APR-002	River Water	2024-05-20	Groenkloof - Apies River	-25.78	28.1957	vanA, mecA	Resistant	red	16S rRNA	17.49	5.97	518	8.11	804	ISO-2026-20-0	E. coli	Automated Script	Contig_20	92.0
APR-003	River Water	2024-05-20	Pretoria CBD	-25.746	28.201	qnrS1, strA	Intermediate	yellow	16S rRNA	17.30	7.13	415	7.30	643	ISO-2026-20-1	E. coli	Automated Script	Contig_20	91.7
APR-004	River Water	2024-05-20	Pretoria Zoo - Apies River	-25.735	28.188	blaNDM-1, mcr-1	Resistant	red	16S rRNA	16.70	6.20	592	7.78	918	ISO-2026-20-2	Klebsiella pneumoniae	Automated Script	Contig_20	89.1
APR-005	River Water	2024-05-20	Wonderboom - Apies River	-25.69	28.187	blaNDM-1, mcr-1	Resistant	red	16S rRNA	18.35	6.53	453	7.06	702	ISO-2026-20-3	E. coli	Automated Script	Contig_20	93.9
APR-006	River Water	2024-05-20	Pretoria North - Apies River	-25.67	28.187	vanA, mecA	Resistant	red	16S rRNA	16.60	7.12	572	8.24	886	ISO-2026-20-4	E. coli	Automated Script	Contig_20	85.1
APR-002	River Water	2024-05-27	Groenkloof - Apies River	-25.78	28.1957	vanA, mecA	Resistant	red	16S rRNA	17.90	5.93	542	7.07	840	ISO-2026-21-0	Enterococcus faecalis	Automated Script	Contig_21	96.0
APR-003	River Water	2024-05-27	Pretoria CBD	-25.746	28.201	qnrS1, strA	Intermediate	yellow	16S rRNA	16.76	7.01	421	7.32	652	ISO-2026-21-1	Enterococcus faecalis	Automated Script	Contig_21	96.5
APR-004	River Water	2024-05-27	Pretoria Zoo - Apies River	-25.735	28.188	blaNDM-1, mcr-1	Resistant	red	16S rRNA	17.30	6.26	569	7.44	881	ISO-2026-21-2	Enterococcus faecalis	Automated Script	Contig_21	98.4
APR-005	River Water	2024-05-27	Wonderboom - Apies River	-25.69	28.187	ampC_intrinsic	Susceptible	green	16S rRNA	17.41	6.59	446	8.03	691	ISO-2026-21-3	Enterococcus faecalis	Automated Script	Contig_21	92.1
APR-006	River Water	2024-05-27	Pretoria North - Apies River	-25.67	28.187	blaNDM-1, mcr-1	Resistant	red	16S rRNA	16.52	7.20	370	7.76	574	ISO-2026-21-4	Pseudomonas aeruginosa	Automated Script	Contig_21	88.8
APR-002	River Water	2024-06-03	Groenkloof - Apies River	-25.78	28.1957	blaNDM-1, mcr-1	Resistant	red	16S rRNA	16.55	6.20	551	7.95	854	ISO-2026-22-0	Enterococcus faecalis	Automated Script	Contig_22	98.6
APR-003	River Water	2024-06-03	Pretoria CBD	-25.746	28.201	blaNDM-1, mcr-1	Resistant	red	16S rRNA	17.43	7.18	410	7.40	635	ISO-2026-22-1	Pseudomonas aeruginosa	Automated Script	Contig_22	98.7
APR-004	River Water	2024-06-03	Pretoria Zoo - Apies River	-25.735	28.188	acrB, tolC	Susceptible	green	16S rRNA	17.67	6.23	601	7.25	931	ISO-2026-22-2	Klebsiella pneumoniae	Automated Script	Contig_22	96.7
APR-005	River Water	2024-06-03	Wonderboom - Apies River	-25.69	28.187	vanA, mecA	Resistant	red	16S rRNA	16.84	6.78	436	7.42	677	ISO-2026-22-3	Pseudomonas aeruginosa	Automated Script	Contig_22	98.3
APR-006	River Water	2024-06-03	Pretoria North - Apies River	-25.67	28.187	ampC_intrinsic	Susceptible	green	16S rRNA	15.98	7.23	361	7.68	560	ISO-2026-22-4	Pseudomonas aeruginosa	Automated Script	Contig_22	87.7
APR-002	River Water	2024-06-10	Groenkloof - Apies River	-25.78	28.1957	blaNDM-1, mcr-1	Resistant	red	16S rRNA	16.30	5.94	531	7.83	822	ISO-2026-23-0	Pseudomonas aeruginosa	Automated Script	Contig_23	91.8
APR-003	River Water	2024-06-10	Pretoria CBD	-25.746	28.201	ampC_intrinsic	Susceptible	green	16S rRNA	15.43	6.85	421	7.87	653	ISO-2026-23-1	E. coli	Automated Script	Contig_23	92.1
APR-004	River Water	2024-06-10	Pretoria Zoo - Apies River	-25.735	28.188	blaNDM-1, mcr-1	Resistant	red	16S rRNA	15.64	6.38	551	7.98	854	ISO-2026-23-2	E. coli	Automated Script	Contig_23	90.9
